Chemicals
Ammonium Carbonate
Iodoform
Magnesium Sulphate
Methyl Salicylate
Benzyl Benzoate 
Sodium borate
Lindane
Trinitrotoluene
Acetaldehyde
Allyl chloride
Aluminium fluoride
Aluminium phosphide
Ascorbic acid
Benzoic acid
Ammonium lauryl sulfate
Barium nitrate
Calcium carbide
Cumene
Dimethylamine
Isobutyl alcohol
N-Dinitrobenzene
Mercuric chloride
Nicotine sulphate
Perchloric acid
 Phosphoric acid
Vinyl toluene
Vinyl bromide
Trinitro aniline
Tetraethyl lead
Sulphur tetrafluoride
Styphinic acid
Sodium chlorate
Quinone
Pyridine
Propylene dichloride
Propionitrile
Potassium cyanide
Phosphorous trichloride
Pentachloro naphthalene
O-Toludine
O-Cresol
Methyl isocyanate
Mercury acetate
Isobutyro nitrile
Hexachlorobenzene
Ethylene diamine hydrochloride
Dithiobiurate
Chloroicetic acid
Carbon disulphide
Cadmium oxide
